door_number,door_identifier,room_identifier,dest_room_identifier,door_address,room_index,room_address,door_index_within_room,dest_room_address,x_pos_door,y_pos_door,dest_x_door,dest_y_door,dest_x_offset_door,dest_y_offset_door
322,50A:622,50A,622,08517938,145,08517958,0,085198A0,255,1,0,0,0,65488
323,50A:505,50A,505,08517948,145,08517958,1,08517660,3,1,0,0,0,0
324,50B:505,50B,505,085179C0,146,085179D0,0,08517660,1,0,256,256,0,0
325,50C:503,50C,503,08517A38,147,08517A48,0,08517510,255,0,528,256,0,0
326,50D:509,50D,509,08517AC0,148,08517AE0,0,085178C0,255,1,528,256,0,0
327,50D:500,50D,500,08517AD0,148,08517AE0,1,085172B8,3,1,0,0,0,0
328,50E:506,50E,506,08517B60,149,08517B70,0,085176F8,1,0,0,0,0,65488
329,600:918,600,918,085183E0,150,08518400,0,08520B08,255,0,0,0,0,65488
330,600:614,600,614,085183F0,150,08518400,1,08519030,2,0,0,0,0,65488
331,601:605,601,605,08518480,151,08518490,0,08518710,1,0,0,0,0,0
332,602:605,602,605,08518500,152,08518520,0,08518710,1,0,0,256,0,0
333,602:606,602,606,08518510,152,08518520,1,085187A0,1,1,0,0,0,0
334,603:606,603,606,085185A0,153,085185B0,0,085187A0,1,0,0,256,0,0
335,604:61A,604,61A,08518628,154,08518658,0,085193D0,1,0,0,0,0,65488
336,604:61B,604,61B,08518638,154,08518658,1,08519460,255,1,0,0,0,65488
337,604:61C,604,61C,08518648,154,08518658,2,08519508,1,1,0,0,0,65488
338,605:601,605,601,085186D0,155,08518710,0,08518490,255,0,0,0,0,65488
339,605:608,605,608,085186E0,155,08518710,1,085188F0,1,0,0,0,0,65488
340,605:602,605,602,085186F0,155,08518710,2,08518520,255,1,0,0,0,0
341,605:609,605,609,08518700,155,08518710,3,08518988,1,1,0,0,0,65488
342,606:602,606,602,08518780,156,085187A0,0,08518520,255,0,0,256,0,0
343,606:603,606,603,08518790,156,085187A0,1,085185B0,255,1,0,0,0,65488
344,607:611,607,611,08518818,157,08518838,0,08518E38,255,0,0,0,0,65488
345,607:613,607,613,08518828,157,08518838,1,08518F78,2,0,0,0,0,0
346,608:605,608,605,085188C0,158,085188F0,0,08518710,255,0,0,0,0,0
347,608:61D,608,61D,085188D0,158,085188F0,1,085195C0,1,255,0,0,65520,0
348,608:60D,608,60D,085188E0,158,085188F0,2,08518C18,3,0,0,0,0,0
349,609:605,609,605,08518978,159,08518988,0,08518710,255,0,0,256,0,0
350,60A:60E,60A,60E,08518A00,160,08518A30,0,08518CB0,1,0,0,256,0,0
351,60A:621,60A,621,08518A10,160,08518A30,1,08519818,255,1,0,0,0,65488
352,60A:610,60A,610,08518A20,160,08518A30,2,08518DA8,1,1,0,0,0,65488
353,60B:616,60B,616,08518AA8,161,08518AC8,0,08519160,255,0,0,0,0,0
354,60B:622,60B,622,08518AB8,161,08518AC8,1,085198A0,2,0,0,0,0,65488
355,60C:619,60C,619,08518B40,162,08518B70,0,08519328,255,0,0,256,0,0
356,60C:61E,60C,61E,08518B50,162,08518B70,1,08519668,255,1,0,0,0,65488
357,60C:60F,60C,60F,08518B60,162,08518B70,2,08518D28,1,1,0,0,0,65488
358,60D:608,60D,608,08518BE8,163,08518C18,0,085188F0,255,0,528,0,0,65488
359,60D:620,60D,620,08518BF8,163,08518C18,1,08519770,1,0,0,0,0,65488
360,60D:60E,60D,60E,08518C08,163,08518C18,2,08518CB0,1,1,0,0,0,0
361,60E:60D,60E,60D,08518C90,164,08518CB0,0,08518C18,255,0,0,256,0,0
362,60E:60A,60E,60A,08518CA0,164,08518CB0,1,08518A30,255,1,0,0,0,0
363,60F:60C,60F,60C,08518D18,165,08518D28,0,08518B70,255,0,0,256,0,0
364,610:60A,610,60A,08518D98,166,08518DA8,0,08518A30,255,0,0,256,0,0
365,611:607,611,607,08518E28,167,08518E38,0,08518838,1,0,0,0,0,65488
366,612:614,612,614,08518EB0,168,08518ED0,0,08519030,0,1,0,0,65520,65488
367,612:613,612,613,08518EC0,168,08518ED0,1,08518F78,2,0,0,256,0,0
368,613:607,613,607,08518F48,169,08518F78,0,08518838,255,0,272,0,0,65488
369,613:61F,613,61F,08518F58,169,08518F78,1,085196E0,1,0,0,0,0,65488
370,613:612,613,612,08518F68,169,08518F78,2,08518ED0,255,1,272,0,0,65488
371,614:612,614,612,08519000,170,08519030,0,08518ED0,0,255,16,0,0,0
372,614:600,614,600,08519010,170,08519030,1,08518400,255,0,272,0,0,65488
373,614:615,614,615,08519020,170,08519030,2,085190C8,1,0,0,0,0,0
374,615:614,615,614,085190A8,171,085190C8,0,08519030,255,0,0,0,0,65488
375,615:617,615,617,085190B8,171,085190C8,1,085191F8,255,1,0,0,0,0
376,616:60B,616,60B,08519140,172,08519160,0,08518AC8,1,0,0,0,0,65488
377,616:619,616,619,08519150,172,08519160,1,08519328,0,2,0,0,0,0
378,617:615,617,615,085191D8,173,085191F8,0,085190C8,1,0,0,256,0,0
379,617:618,617,618,085191E8,173,085191F8,1,08519290,1,1,0,0,0,0
380,618:617,618,617,08519270,174,08519290,0,085191F8,255,0,0,256,0,0
381,618:61A,618,61A,08519280,174,08519290,1,085193D0,255,1,0,0,0,65488
382,619:616,619,616,08519308,175,08519328,0,08519160,0,255,0,256,0,48
383,619:60C,619,60C,08519318,175,08519328,1,08518B70,1,1,0,0,0,0
384,61A:604,61A,604,085193B0,176,085193D0,0,08518658,255,0,0,0,0,0
385,61A:618,61A,618,085193C0,176,085193D0,1,08519290,1,0,0,256,0,0
386,61B:604,61B,604,08519450,177,08519460,0,08518658,1,0,0,256,0,0
387,61C:604,61C,604,085194E8,178,08519508,0,08518658,255,0,0,256,0,0
388,61C:61D,61C,61D,085194F8,178,08519508,1,085195C0,1,0,0,0,0,65488
389,61D:61C,61D,61C,08519590,179,085195C0,0,08519508,255,0,0,0,0,65488
390,61D:61E,61D,61E,085195A0,179,085195C0,1,08519668,1,0,0,0,0,65488
391,61D:608,61D,608,085195B0,179,085195C0,2,085188F0,0,1,272,0,0,65488
392,61E:61D,61E,61D,08519648,180,08519668,0,085195C0,255,0,0,0,0,65488
393,61E:60C,61E,60C,08519658,180,08519668,1,08518B70,1,0,0,256,0,0
394,61F:613,61F,613,085196D0,181,085196E0,0,08518F78,255,0,0,0,0,0
395,620:60D,620,60D,08519760,182,08519770,0,08518C18,255,0,0,0,0,0
396,621:01E,621,01E,085197F8,183,08519818,0,085101A4,255,0,0,0,0,65488
397,621:60A,621,60A,08519808,183,08519818,1,08518A30,1,0,0,256,0,0
398,622:60B,622,60B,08519880,184,085198A0,0,08518AC8,255,0,272,0,0,65488
399,622:50A,622,50A,08519890,184,085198A0,1,08517958,1,0,0,256,0,0
400,700:004,700,004,0851A564,185,0851A584,0,0850F1E4,1,0,0,0,0,65488
401,700:701,700,701,0851A574,185,0851A584,1,0851A624,1,1,0,0,0,65488
402,701:700,701,700,0851A5F4,186,0851A624,0,0851A584,255,0,0,256,0,0
403,701:702,701,702,0851A604,186,0851A624,1,0851A6A4,7,255,256,0,0,0
404,701:705,701,705,0851A614,186,0851A624,2,0851A88C,9,1,0,0,0,0
405,702:701,702,701,0851A694,187,0851A6A4,0,0851A624,1,1,1792,0,0,65488
406,703:705,703,705,0851A714,188,0851A724,0,0851A88C,1,0,0,256,0,0
407,704:726,704,726,0851A7BC,189,0851A7EC,0,0851C05C,255,0,0,0,0,65488
408,704:707,704,707,0851A7CC,189,0851A7EC,1,0851A9EC,1,0,0,0,0,65488
409,704:708,704,708,0851A7DC,189,0851A7EC,2,0851AA94,1,1,0,0,0,65488
410,705:701,705,701,0851A85C,190,0851A88C,0,0851A624,0,255,2304,0,0,0
411,705:70B,705,70B,0851A86C,190,0851A88C,1,0851AD0C,2,0,0,0,0,0
412,705:703,705,703,0851A87C,190,0851A88C,2,0851A724,255,1,0,0,0,65488
413,706:70B,706,70B,0851A924,191,0851A934,0,0851AD0C,1,0,0,1024,0,0
414,707:704,707,704,0851A9CC,192,0851A9EC,0,0851A7EC,255,0,0,0,0,0
415,707:70A,707,70A,0851A9DC,192,0851A9EC,1,0851AC14,1,0,0,0,0,0
416,708:704,708,704,0851AA84,193,0851AA94,0,0851A7EC,255,0,0,256,0,0
417,709:70A,709,70A,0851AB2C,194,0851AB3C,0,0851AC14,1,0,0,768,0,0
418,70A:707,70A,707,0851ABD4,195,0851AC14,0,0851A9EC,255,0,0,0,0,65488
419,70A:70C,70A,70C,0851ABE4,195,0851AC14,1,0851ADD4,1,0,0,0,0,65488
420,70A:709,70A,709,0851ABF4,195,0851AC14,2,0851AB3C,255,3,0,0,0,65488
421,70A:70D,70A,70D,0851AC04,195,0851AC14,3,0851AE84,1,3,0,0,0,65488
422,70B:705,70B,705,0851ACAC,196,0851AD0C,0,0851A88C,255,0,272,0,0,0
423,70B:70E,70B,70E,0851ACBC,196,0851AD0C,1,0851AF14,1,0,0,0,0,0
424,70B:727,70B,727,0851ACCC,196,0851AD0C,2,0851C0D4,1,3,0,0,0,65488
425,70B:706,70B,706,0851ACDC,196,0851AD0C,3,0851A934,255,4,0,0,0,65488
426,70B:72F,70B,72F,0851ACEC,196,0851AD0C,4,0851C63C,1,6,0,0,0,65488
427,70B:70C,70B,70C,0851ACFC,196,0851AD0C,5,0851ADD4,0,7,16,0,0,65488
428,70C:70B,70C,70B,0851ADA4,197,0851ADD4,0,0851AD0C,0,255,0,1536,65520,48
429,70C:70A,70C,70A,0851ADB4,197,0851ADD4,1,0851AC14,255,0,0,0,0,0
430,70C:713,70C,713,0851ADC4,197,0851ADD4,2,0851B294,8,0,0,512,0,0
431,70D:70A,70D,70A,0851AE64,198,0851AE84,0,0851AC14,255,0,0,768,0,0
432,70D:710,70D,710,0851AE74,198,0851AE84,1,0851B05C,2,0,0,0,0,65488
433,70E:70B,70E,70B,0851AEF4,199,0851AF14,0,0851AD0C,255,0,0,0,0,0
434,70E:712,70E,712,0851AF04,199,0851AF14,1,0851B19C,5,1,0,0,0,65488
435,70F:721,70F,721,0851AFAC,200,0851AFBC,0,0851BD0C,255,0,272,512,0,0
436,710:70D,710,70D,0851B03C,201,0851B05C,0,0851AE84,255,0,272,0,0,65488
437,710:723,710,723,0851B04C,201,0851B05C,1,0851BE6C,4,0,0,256,0,0
438,711:01C,711,01C,0851B0CC,202,0851B0FC,0,08510094,255,0,0,0,0,65488
439,711:717,711,717,0851B0DC,202,0851B0FC,1,0851B524,5,0,0,0,0,65488
440,711:712,711,712,0851B0EC,202,0851B0FC,2,0851B19C,1,3,256,0,0,65488
441,712:70E,712,70E,0851B16C,203,0851B19C,0,0851AF14,255,0,1040,256,0,0
442,712:711,712,711,0851B17C,203,0851B19C,1,0851B0FC,1,255,256,512,0,48
443,712:72A,712,72A,0851B18C,203,0851B19C,2,0851C26C,2,0,0,0,0,65488
444,713:728,713,728,0851B244,204,0851B294,0,0851C154,255,0,0,0,0,65488
445,713:714,713,714,0851B254,204,0851B294,1,0851B34C,2,0,0,0,0,65488
446,713:72E,713,72E,0851B264,204,0851B294,2,0851C584,255,1,0,0,0,65488
447,713:70C,713,70C,0851B274,204,0851B294,3,0851ADD4,255,2,1808,0,0,65488
448,713:715,713,715,0851B284,204,0851B294,4,0851B3F4,2,2,0,0,0,65488
449,714:713,714,713,0851B32C,205,0851B34C,0,0851B294,255,0,272,0,0,0
450,714:721,714,721,0851B33C,205,0851B34C,1,0851BD0C,3,0,0,1024,0,0
451,715:713,715,713,0851B3E4,206,0851B3F4,0,0851B294,255,0,272,512,0,0
452,716:737,716,737,0851B484,207,0851B494,0,0851CB6C,255,0,784,0,0,65488
453,717:711,717,711,0851B504,208,0851B524,0,0851B0FC,255,0,1040,0,0,0
454,717:719,717,719,0851B514,208,0851B524,1,0851B68C,2,0,0,256,0,0
455,718:721,718,721,0851B5CC,209,0851B5DC,0,0851BD0C,1,0,0,0,0,0
456,719:717,719,717,0851B65C,210,0851B68C,0,0851B524,255,1,272,0,0,65488
457,719:71A,719,71A,0851B66C,210,0851B68C,1,0851B754,2,1,0,0,0,65488
458,719:721,719,721,0851B67C,210,0851B68C,2,0851BD0C,1,4,256,0,0,0
459,71A:719,71A,719,0851B734,211,0851B754,0,0851B68C,255,0,272,256,0,0
460,71A:71D,71A,71D,0851B744,211,0851B754,1,0851B9CC,1,0,0,0,0,0
461,71B:721,71B,721,0851B7FC,212,0851B81C,0,0851BD0C,255,0,272,1024,0,0
462,71B:A07,71B,A07,0851B80C,212,0851B81C,1,08521890,1,0,0,0,0,65488
463,71C:71D,71C,71D,0851B8C4,213,0851B8D4,0,0851B9CC,0,2,272,0,0,0
464,71D:71A,71D,71A,0851B97C,214,0851B9CC,0,0851B754,255,0,0,0,0,65488
465,71D:71C,71D,71C,0851B98C,214,0851B9CC,1,0851B8D4,1,255,0,256,65520,48
466,71D:71F,71D,71F,0851B99C,214,0851B9CC,2,0851BB4C,3,0,0,0,0,65488
467,71D:731,71D,731,0851B9AC,214,0851B9CC,3,0851C77C,0,3,256,0,0,65488
468,71D:71E,71D,71E,0851B9BC,214,0851B9CC,4,0851BA94,2,3,0,0,65520,0
469,71E:71D,71E,71D,0851BA74,215,0851BA94,0,0851B9CC,0,255,528,512,0,48
470,71E:720,71E,720,0851BA84,215,0851BA94,1,0851BC04,1,1,0,0,0,65488
471,71F:71D,71F,71D,0851BB3C,216,0851BB4C,0,0851B9CC,255,0,528,0,0,0
472,720:71E,720,71E,0851BBF4,217,0851BC04,0,0851BA94,255,0,0,256,0,0
473,721:718,721,718,0851BCAC,218,0851BD0C,0,0851B5DC,255,0,0,0,0,65488
474,721:719,721,719,0851BCBC,218,0851BD0C,1,0851B68C,1,255,256,768,0,48
475,721:731,721,731,0851BCCC,218,0851BD0C,2,0851C77C,2,0,0,0,0,65488
476,721:70F,721,70F,0851BCDC,218,0851BD0C,3,0851AFBC,2,2,0,0,0,65488
477,721:714,721,714,0851BCEC,218,0851BD0C,4,0851B34C,255,4,528,0,0,65488
478,721:71B,721,71B,0851BCFC,218,0851BD0C,5,0851B81C,2,4,0,0,0,65488
479,722:723,722,723,0851BD8C,219,0851BD9C,0,0851BE6C,4,0,0,0,0,0
480,723:722,723,722,0851BE2C,220,0851BE6C,0,0851BD9C,255,0,784,0,0,65488
481,723:729,723,729,0851BE3C,220,0851BE6C,1,0851C1CC,1,0,0,0,0,65488
482,723:710,723,710,0851BE4C,220,0851BE6C,2,0851B05C,255,1,784,0,0,65488
483,723:724,723,724,0851BE5C,220,0851BE6C,3,0851BF1C,1,1,0,0,0,65488
484,724:723,724,723,0851BEFC,221,0851BF1C,0,0851BE6C,255,0,0,256,0,0
485,724:725,724,725,0851BF0C,221,0851BF1C,1,0851BFD4,1,0,0,256,0,0
486,725:724,725,724,0851BFB4,222,0851BFD4,0,0851BF1C,255,1,0,0,0,65488
487,725:734,725,734,0851BFC4,222,0851BFD4,1,0851C94C,2,1,0,0,0,65488
488,726:814,726,814,0851C03C,223,0851C05C,0,0851F0B0,255,0,0,0,0,65488
489,726:704,726,704,0851C04C,223,0851C05C,1,0851A7EC,1,0,0,0,0,0
490,727:70B,727,70B,0851C0C4,224,0851C0D4,0,0851AD0C,255,0,0,768,0,0
491,728:713,728,713,0851C144,225,0851C154,0,0851B294,1,0,0,0,0,0
492,729:723,729,723,0851C1BC,226,0851C1CC,0,0851BE6C,255,0,0,0,0,0
493,72A:712,72A,712,0851C24C,227,0851C26C,0,0851B19C,255,0,272,0,0,65488
494,72A:72B,72A,72B,0851C25C,227,0851C26C,1,0851C32C,1,0,0,0,0,0
495,72B:72A,72B,72A,0851C2EC,228,0851C32C,0,0851C26C,255,0,0,0,0,65488
496,72B:732,72B,732,0851C2FC,228,0851C32C,1,0851C7FC,1,1,0,0,0,65488
497,72B:72C,72B,72C,0851C30C,228,0851C32C,2,0851C3F4,255,3,272,0,0,65488
498,72B:730,72B,730,0851C31C,228,0851C32C,3,0851C6B4,1,3,0,0,0,65488
499,72C:72D,72C,72D,0851C3D4,229,0851C3F4,0,0851C4CC,255,0,272,0,0,0
500,72C:72B,72C,72B,0851C3E4,229,0851C3F4,1,0851C32C,2,0,0,768,0,0
501,72D:72C,72D,72C,0851C49C,230,0851C4CC,0,0851C3F4,2,0,0,0,0,65488
502,72D:72F,72D,72F,0851C4AC,230,0851C4CC,1,0851C63C,255,2,784,0,0,65488
503,72D:72E,72D,72E,0851C4BC,230,0851C4CC,2,0851C584,2,2,0,0,0,65488
504,72E:72D,72E,72D,0851C564,231,0851C584,0,0851C4CC,255,0,272,512,0,0
505,72E:713,72E,713,0851C574,231,0851C584,1,0851B294,1,0,0,256,0,0
506,72F:70B,72F,70B,0851C61C,232,0851C63C,0,0851AD0C,255,0,0,1536,0,0
507,72F:72D,72F,72D,0851C62C,232,0851C63C,1,0851C4CC,4,0,0,512,0,0
508,730:72B,730,72B,0851C6A4,233,0851C6B4,0,0851C32C,255,0,0,768,0,0
509,731:721,731,721,0851C75C,234,0851C77C,0,0851BD0C,255,0,272,0,0,0
510,731:71D,731,71D,0851C76C,234,0851C77C,1,0851B9CC,1,255,0,512,0,48
511,732:72B,732,72B,0851C7EC,235,0851C7FC,0,0851C32C,255,0,0,256,0,0
512,733:735,733,735,0851C88C,236,0851C89C,0,0851CA1C,1,0,0,0,0,0
513,734:725,734,725,0851C92C,237,0851C94C,0,0851BFD4,255,0,272,256,0,0
514,734:735,734,735,0851C93C,237,0851C94C,1,0851CA1C,1,0,0,256,0,0
515,735:733,735,733,0851C9DC,238,0851CA1C,0,0851C89C,255,0,0,0,0,65488
516,735:736,735,736,0851C9EC,238,0851CA1C,1,0851CABC,1,0,0,0,0,65488
517,735:734,735,734,0851C9FC,238,0851CA1C,2,0851C94C,255,1,0,0,0,65488
518,735:737,735,737,0851CA0C,238,0851CA1C,3,0851CB6C,1,1,0,0,0,65488
519,736:735,736,735,0851CAAC,239,0851CABC,0,0851CA1C,255,0,0,0,0,0
520,737:735,737,735,0851CB4C,240,0851CB6C,0,0851CA1C,255,0,0,256,0,0
521,737:716,737,716,0851CB5C,240,0851CB6C,1,0851B494,4,0,0,0,0,65488
522,800:801,800,801,0851E480,241,0851E490,0,0851E528,1,0,0,0,0,65488
523,801:800,801,800,0851E508,242,0851E528,0,0851E490,255,0,0,0,0,65488
524,801:805,801,805,0851E518,242,0851E528,1,0851E7F8,2,0,0,512,0,0
525,802:806,802,806,0851E5A0,243,0851E5E0,0,0851E880,2,0,0,0,0,65488
526,802:807,802,807,0851E5B0,243,0851E5E0,1,0851E918,2,1,0,0,0,65488
527,802:803,802,803,0851E5C0,243,0851E5E0,2,0851E688,0,3,0,0,0,65488
528,802:808,802,808,0851E5D0,243,0851E5E0,3,0851E9A0,2,2,0,0,0,65488
529,803:802,803,802,0851E658,244,0851E688,0,0851E5E0,0,255,0,512,0,48
530,803:804,803,804,0851E668,244,0851E688,1,0851E730,0,1,0,0,65520,65488
531,803:80C,803,80C,0851E678,244,0851E688,2,0851EC00,3,0,0,0,0,65488
532,804:803,804,803,0851E700,245,0851E730,0,0851E688,0,255,16,0,0,0
533,804:815,804,815,0851E710,245,0851E730,1,0851F128,255,0,0,0,0,65488
534,804:805,804,805,0851E720,245,0851E730,2,0851E7F8,1,0,0,0,0,0
535,805:804,805,804,0851E7A8,246,0851E7F8,0,0851E730,255,0,0,0,0,65488
536,805:809,805,809,0851E7B8,246,0851E7F8,1,0851EA38,1,0,0,0,0,65488
537,805:80A,805,80A,0851E7C8,246,0851E7F8,2,0851EAD0,1,1,0,0,0,65488
538,805:801,805,801,0851E7D8,246,0851E7F8,3,0851E528,255,2,272,0,0,65488
539,805:80B,805,80B,0851E7E8,246,0851E7F8,4,0851EB68,1,2,0,0,0,65488
540,806:802,806,802,0851E870,247,0851E880,0,0851E5E0,255,0,272,0,0,0
541,807:802,807,802,0851E8F8,248,0851E918,0,0851E5E0,255,0,272,256,0,0
542,807:80E,807,80E,0851E908,248,0851E918,1,0851ED60,4,0,0,256,0,0
543,808:802,808,802,0851E990,249,0851E9A0,0,0851E5E0,255,0,272,512,0,0
544,809:805,809,805,0851EA18,250,0851EA38,0,0851E7F8,255,0,0,0,0,0
545,809:80F,809,80F,0851EA28,250,0851EA38,1,0851EDE8,4,0,0,0,0,65488
546,80A:805,80A,805,0851EAB0,251,0851EAD0,0,0851E7F8,255,0,0,256,0,0
547,80A:810,80A,810,0851EAC0,251,0851EAD0,1,0851EE70,4,0,0,0,0,65488
548,80B:805,80B,805,0851EB48,252,0851EB68,0,0851E7F8,255,0,0,512,0,0
549,80B:811,80B,811,0851EB58,252,0851EB68,1,0851EEF8,4,0,0,0,0,65488
550,80C:803,80C,803,0851EBE0,253,0851EC00,0,0851E688,255,0,528,0,0,65488
551,80C:80D,80C,80D,0851EBF0,253,0851EC00,1,0851ECB8,2,0,0,0,0,65488
552,80D:80C,80D,80C,0851EC78,254,0851ECB8,0,0851EC00,255,0,272,0,0,65488
553,80D:80E,80D,80E,0851EC88,254,0851ECB8,1,0851ED60,1,255,0,512,65520,48
554,80D:816,80D,816,0851EC98,254,0851ECB8,2,0851F1A8,3,0,0,0,0,65488
555,80D:813,80D,813,0851ECA8,254,0851ECB8,3,0851F018,2,1,0,0,0,0
556,80E:812,80E,812,0851ED30,255,0851ED60,0,0851EF80,1,0,0,0,0,65488
557,80E:807,80E,807,0851ED40,255,0851ED60,1,0851E918,255,1,784,0,0,65488
558,80E:80D,80E,80D,0851ED50,255,0851ED60,2,0851ECB8,0,3,272,0,0,65488
559,80F:809,80F,809,0851EDD8,256,0851EDE8,0,0851EA38,255,0,784,0,0,65488
560,810:80A,810,80A,0851EE60,257,0851EE70,0,0851EAD0,255,0,784,0,0,65488
561,811:80B,811,80B,0851EEE8,258,0851EEF8,0,0851EB68,255,0,784,0,0,65488
562,812:80E,812,80E,0851EF70,259,0851EF80,0,0851ED60,255,0,0,0,0,0
563,813:80D,813,80D,0851EFF8,260,0851F018,0,0851ECB8,0,255,512,0,0,0
564,813:814,813,814,0851F008,260,0851F018,1,0851F0B0,2,2,0,0,0,65488
565,814:813,814,813,0851F090,261,0851F0B0,0,0851F018,255,0,272,512,0,0
566,814:726,814,726,0851F0A0,261,0851F0B0,1,0851C05C,1,0,0,0,0,65488
567,815:804,815,804,0851F118,262,0851F128,0,0851E730,1,0,0,0,0,65488
568,816:80D,816,80D,0851F198,263,0851F1A8,0,0851ECB8,255,0,528,0,0,65488
569,900:904,900,904,0851FAE0,264,0851FAF0,0,0851FD70,1,0,0,0,0,65488
570,901:904,901,904,0851FB68,265,0851FB98,0,0851FD70,1,0,0,0,224,65488
571,901:917,901,917,0851FB78,265,0851FB98,1,08520A80,2,2,512,0,0,0
572,901:90B,901,90B,0851FB88,265,0851FB98,2,08520240,4,1,0,0,0,0
573,902:903,902,903,0851FC18,266,0851FC28,0,0851FCD8,0,1,16,0,0,0
574,903:902,903,902,0851FCA8,267,0851FCD8,0,0851FC28,0,255,0,0,65520,0
575,903:907,903,907,0851FCB8,267,0851FCD8,1,0851FF60,2,0,0,0,0,65488
576,903:908,903,908,0851FCC8,267,0851FCD8,2,08520000,2,1,0,0,0,65488
577,904:900,904,900,0851FD50,268,0851FD70,0,0851FAF0,255,0,0,0,0,65488
578,904:901,904,901,0851FD60,268,0851FD70,1,0851FB98,1,0,512,0,0,0
579,905:917,905,917,0851FE00,269,0851FE20,0,08520A80,0,255,256,768,0,48
580,905:906,905,906,0851FE10,269,0851FE20,1,0851FEC0,2,0,0,0,0,65488
581,906:905,906,905,0851FEB0,270,0851FEC0,0,0851FE20,255,0,272,0,0,65488
582,907:903,907,903,0851FF40,271,0851FF60,0,0851FCD8,255,0,272,0,0,0
583,907:90E,907,90E,0851FF50,271,0851FF60,1,08520490,2,0,0,0,0,65488
584,908:903,908,903,0851FFE0,272,08520000,0,0851FCD8,255,0,272,256,0,0
585,908:909,908,909,0851FFF0,272,08520000,1,085200B0,0,1,0,0,0,65488
586,909:908,909,908,08520080,273,085200B0,0,08520000,0,255,0,0,0,0
587,909:90F,909,90F,08520090,273,085200B0,1,08520540,2,0,0,256,0,0
588,909:90A,909,90A,085200A0,273,085200B0,2,08520160,1,1,256,0,0,65488
589,90A:40F,90A,40F,08520130,274,08520160,0,08516468,255,0,0,0,0,65488
590,90A:909,90A,909,08520140,274,08520160,1,085200B0,1,255,256,0,0,0
591,90A:01D,90A,01D,08520150,274,08520160,2,0851011C,2,0,0,0,0,65488
592,90B:901,90B,901,085201F0,275,08520240,0,0851FB98,255,0,784,256,0,0
593,90B:910,90B,910,08520200,275,08520240,1,085205E0,1,0,0,0,0,65488
594,90B:917,90B,917,08520210,275,08520240,2,08520A80,255,1,784,0,0,0
595,90B:911,90B,911,08520220,275,08520240,3,08520680,1,1,0,0,0,65488
596,90B:90C,90B,90C,08520230,275,08520240,4,08520320,0,2,0,0,0,0
597,90C:90B,90C,90B,085202D0,276,08520320,0,08520240,0,255,0,256,0,48
598,90C:916,90C,916,085202E0,276,08520320,1,085209B8,1,0,0,0,0,65488
599,90C:917,90C,917,085202F0,276,08520320,2,08520A80,255,1,784,512,0,0
600,90C:912,90C,912,08520300,276,08520320,3,08520740,1,1,0,0,0,65488
601,90C:90D,90C,90D,08520310,276,08520320,4,085203E0,0,2,16,0,0,0
602,90D:90C,90D,90C,085203B0,277,085203E0,0,08520320,0,255,0,256,65520,48
603,90D:917,90D,917,085203C0,277,085203E0,1,08520A80,255,0,784,768,0,0
604,90D:90E,90D,90E,085203D0,277,085203E0,2,08520490,1,2,256,0,0,65488
605,90E:907,90E,907,08520460,278,08520490,0,0851FF60,255,0,272,0,0,65488
606,90E:90D,90E,90D,08520470,278,08520490,1,085203E0,1,255,256,256,0,48
607,90E:913,90E,913,08520480,278,08520490,2,08520810,2,0,0,0,0,0
608,90F:909,90F,909,08520520,279,08520540,0,085200B0,255,1,272,0,0,65488
609,90F:913,90F,913,08520530,279,08520540,1,08520810,2,1,0,512,0,0
610,910:90B,910,90B,085205D0,280,085205E0,0,08520240,255,0,0,0,0,0
611,911:90B,911,90B,08520670,281,08520680,0,08520240,255,0,0,256,0,0
612,912:90C,912,90C,08520720,282,08520740,0,08520320,255,0,0,256,0,0
613,912:918,912,918,08520730,282,08520740,1,08520B08,3,0,0,0,0,65488
614,913:90E,913,90E,085207C0,283,08520810,0,08520490,255,0,272,0,0,65488
615,913:914,913,914,085207D0,283,08520810,1,085208A0,1,0,0,0,0,65488
616,913:919,913,919,085207E0,283,08520810,2,08520B88,1,1,0,0,0,65488
617,913:90F,913,90F,085207F0,283,08520810,3,08520540,255,2,272,256,0,0
618,913:915,913,915,08520800,283,08520810,4,08520940,1,2,0,0,0,65488
619,914:913,914,913,08520890,284,085208A0,0,08520810,255,0,0,0,0,0
620,915:913,915,913,08520930,285,08520940,0,08520810,255,0,0,512,0,0
621,916:90C,916,90C,085209A8,286,085209B8,0,08520320,255,0,0,0,0,0
622,917:901,917,901,08520A30,287,08520A80,0,0851FB98,2,255,512,256,0,48
623,917:90B,917,90B,08520A40,287,08520A80,1,08520240,4,0,0,256,0,0
624,917:90C,917,90C,08520A50,287,08520A80,2,08520320,4,2,0,256,0,0
625,917:905,917,905,08520A60,287,08520A80,3,0851FE20,1,4,0,0,0,65488
626,917:90D,917,90D,08520A70,287,08520A80,4,085203E0,4,3,0,0,0,0
627,918:912,918,912,08520AE8,288,08520B08,0,08520740,255,0,528,0,0,65488
628,918:600,918,600,08520AF8,288,08520B08,1,08518400,1,0,0,0,0,65488
629,919:913,919,913,08520B78,289,08520B88,0,08520810,255,0,0,256,0,0
630,A00:A07,A00,A07,08521458,290,08521478,0,08521890,255,0,0,0,0,65488
631,A00:A02,A00,A02,08521468,290,08521478,1,085215B8,4,0,0,256,0,0
