Name,Origin Region,Destination Region,Logic rule
Swamp - Before Big Enemy > South West Island,Swamp - Before Big Enemy,Swamp - South West Island,can_surf
Swamp - Before Big Enemy > Swamp Jumps Grotto North,Swamp - Before Big Enemy,Swamp Jumps Grotto North,true
Swamp - Before Big Enemy > Turtle's domain,Swamp - Before Big Enemy,Swamp - Turtle's domain,can_surf
Swamp - South West Island > Before Big Enemy,Swamp - South West Island,Swamp - Before Big Enemy,can_fight
Swamp - South West Island > Cemetery Tower Exterior,Swamp - South West Island,Cemetery - Tower Exterior,can_surf
Swamp - South West Island > Green Island Arena,Swamp - South West Island,Green - Island Arena,can_use_springboards or can_surf
Swamp - South West Island > South West Island Shack,Swamp - South West Island,Swamp - South West Island Shack,can_surf
Swamp - South West Island > Swamp Jumps Grotto South,Swamp - South West Island,Swamp Jumps Grotto South,true
Swamp - South West Island Shack > Scarab Temple Top Right Torch,Swamp - South West Island Shack,Scarab Temple - Top Right Torch,true
Swamp - South West Island Shack > South West Island,Swamp - South West Island Shack,Swamp - South West Island,can_surf
Swamp - Tower Exterior > South West Island,Swamp - Tower Exterior,Swamp - South West Island,can_surf
Swamp - Tower Exterior > Swamp Tower,Swamp - Tower Exterior,Swamp Tower,true
Swamp - Turtle's domain > Beach Dungeon 3 Island,Swamp - Turtle's domain,Beach - Dungeon 3 Island,can_surf or can_cross_gaps and can_destroy_walls and can_destroy_rocks and can_destroy_plants and can_use_springboards and can_light_torches and can_fight_lvl3
Swamp - Turtle's domain > Beach Swamp Entrance,Swamp - Turtle's domain,Beach - Swamp Entrance,can_fight_lvl2
Swamp - Turtle's domain > Before Big Enemy,Swamp - Turtle's domain,Swamp - Before Big Enemy,can_fight_lvl3 or can_surf
Swamp - Turtle's domain > North,Swamp - Turtle's domain,Swamp - North,can_destroy_walls
Swamp - Turtle's domain > Race,Swamp - Turtle's domain,Swamp Race,can_destroy_rocks or can_surf
Swamp - Turtle's domain > Shop,Swamp - Turtle's domain,Swamp Shop,can_destroy_trees
Swamp Jumps Grotto - North > South,Swamp Jumps Grotto North,Swamp Jumps Grotto South,can_use_springboards or can_surf
Swamp Jumps Grotto - North > Swamp Before Big Enemy,Swamp Jumps Grotto North,Swamp - Before Big Enemy,true
Swamp Jumps Grotto - South > North,Swamp Jumps Grotto South,Swamp Jumps Grotto North,can_surf
Swamp Jumps Grotto - South > Swamp South West Island,Swamp Jumps Grotto South,Swamp - South West Island,true
Swamp Jumps Grotto Drop > South,Swamp Jumps Grotto Drop,Swamp Jumps Grotto South,can_use_springboards or can_surf
Swamp Race > Turtle's domain,Swamp Race,Swamp - Turtle's domain,true
Swamp Shop > Turtle's domain,Swamp Shop,Swamp - Turtle's domain,true
Swamp Tower > Tower Exterior,Swamp Tower,Swamp - Tower Exterior,true
Town Pillars Grotto > Town Pillars,Town Pillars Grotto,Green - Town Pillars,true
Zelda 1 Grotto > Town,Zelda 1 Grotto,Green - Town,true
